ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,XC_ZooScore
Babesia bicornis,y
Babesia divergens,y
Blepharocorys jubata,y
Charonina hippopotami,y
Cycloposthium bipalmatum,y
Cycloposthium corrugatum,y
Cycloposthium dentiferum,y
Cycloposthium edentatum,y
Cycloposthium scutigerum,y
Diplodinium anacanthum,y
Diplodinium dentatum,y
Diploplastron affine,y
Eimeria crispus,y
Eimeria hreindyria,y
Eimeria kamoshika,y
Eimeria mayeri,y
Eimeria rangiferis,y
Eimeria serowi,y
Elyplastron bubali,y
Entodinium bicornutum,y
Entodinium bursa,y
Entodinium caudatum,y
Entodinium dubardi,y
Entodinium furca,y
Entodinium minimum,y
Epidinium bulbiferum,y
Epidinium caudatum,y
Epidinium gigas,y
Eudiplodinium maggi,y
Metadinium medium,y
Ostracodinium gracile,y
Ostracodinium mammosum,y
Ostracodinium trivesiculatum,y
Paraisotricha minuta,y
Paraplagiopyla kiboko,y
Parentodinium africanum,y
Parentodinium ostrea,y
Polyplastron multivesiculatum,y
Prototapirella gorillae,y
Sarcocystis alces,y
Sarcocystis hardangeri,y
Sarcocystis ovalis,y
Sarcocystis scandinavica,y
Spirodinium equi,y
Tetratoxum parvum,y
Tetratoxum unifasciculatum,y
Triadinium galea,y
Troglocorys cava,y
