ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,XC_ZooScore,XC_CScore
Babesia bicornis,-1,2
Babesia divergens,0,1
Blepharocorys jubata,-1,3
Charonina hippopotami,-1,3
Cycloposthium bipalmatum,-1,3
Cycloposthium corrugatum,-1,3
Cycloposthium dentiferum,-1,3
Cycloposthium edentatum,-1,3
Cycloposthium scutigerum,-1,3
Diplodinium anacanthum,-1,3
Diplodinium dentatum,-1,2
Diploplastron affine,-1,2
Eimeria crispus,-1,2
Eimeria hreindyria,-1,3
Eimeria kamoshika,-1,3
Eimeria mayeri,-1,3
Eimeria rangiferis,-1,3
Eimeria serowi,-1,3
Elyplastron bubali,-1,3
Entamoeba histolytica,1,3
Entodinium bicornutum,-1,3
Entodinium bursa,-1,2
Entodinium caudatum,-1,1
Entodinium dubardi,-1,2
Entodinium furca,-1,3
Entodinium minimum,-1,2
Epidinium bulbiferum,-1,3
Epidinium caudatum,-1,2
Epidinium gigas,-1,3
Eudiplodinium maggi,-1,3
Metadinium medium,-1,2
Ostracodinium gracile,-1,2
Ostracodinium mammosum,-1,3
Ostracodinium trivesiculatum,-1,3
Paraisotricha minuta,-1,3
Paraplagiopyla kiboko,-1,3
Parentodinium africanum,-1,3
Parentodinium ostrea,-1,3
Polyplastron multivesiculatum,-1,2
Prototapirella gorillae,-1,3
Sarcocystis alces,-1,3
Sarcocystis hardangeri,-1,3
Sarcocystis ovalis,-1,2
Sarcocystis scandinavica,-1,3
Spirodinium equi,-1,3
Tetratoxum parvum,-1,3
Tetratoxum unifasciculatum,-1,3
Triadinium galea,-1,3
Troglocorys cava,-1,2
