"","unique(world$name)"
"1","Aruba"
"2","Afghanistan"
"3","Angola"
"4","Anguilla"
"5","Albania"
"6","Aland"
"7","Andorra"
"8","United Arab Emirates"
"9","Argentina"
"10","Armenia"
"11","American Samoa"
"12","Antarctica"
"13","Ashmore and Cartier Is."
"14","Fr. S. Antarctic Lands"
"15","Antigua and Barb."
"16","Australia"
"17","Austria"
"18","Azerbaijan"
"19","Burundi"
"20","Belgium"
"21","Benin"
"22","Burkina Faso"
"23","Bangladesh"
"24","Bulgaria"
"25","Bahrain"
"26","Bahamas"
"27","Bosnia and Herz."
"28","St-Barthélemy"
"29","Belarus"
"30","Belize"
"31","Bermuda"
"32","Bolivia"
"33","Brazil"
"34","Barbados"
"35","Brunei"
"36","Bhutan"
"37","Botswana"
"38","Central African Rep."
"39","Canada"
"40","Switzerland"
"41","Chile"
"42","China"
"43","Côte d'Ivoire"
"44","Cameroon"
"45","Dem. Rep. Congo"
"46","Congo"
"47","Cook Is."
"48","Colombia"
"49","Comoros"
"50","Cape Verde"
"51","Costa Rica"
"52","Cuba"
"53","Curaçao"
"54","Cayman Is."
"55","N. Cyprus"
"56","Cyprus"
"57","Czech Rep."
"58","Germany"
"59","Djibouti"
"60","Dominica"
"61","Denmark"
"62","Dominican Rep."
"63","Algeria"
"64","Ecuador"
"65","Egypt"
"66","Eritrea"
"67","Spain"
"68","Estonia"
"69","Ethiopia"
"70","Finland"
"71","Fiji"
"72","Falkland Is."
"73","France"
"74","Faeroe Is."
"75","Micronesia"
"76","Gabon"
"77","United Kingdom"
"78","Georgia"
"79","Guernsey"
"80","Ghana"
"81","Guinea"
"82","Gambia"
"83","Guinea-Bissau"
"84","Eq. Guinea"
"85","Greece"
"86","Grenada"
"87","Greenland"
"88","Guatemala"
"89","Guam"
"90","Guyana"
"91","Hong Kong"
"92","Heard I. and McDonald Is."
"93","Honduras"
"94","Croatia"
"95","Haiti"
"96","Hungary"
"97","Indonesia"
"98","Isle of Man"
"99","India"
"100","Indian Ocean Ter."
"101","Br. Indian Ocean Ter."
"102","Ireland"
"103","Iran"
"104","Iraq"
"105","Iceland"
"106","Israel"
"107","Italy"
"108","Jamaica"
"109","Jersey"
"110","Jordan"
"111","Japan"
"112","Siachen Glacier"
"113","Kazakhstan"
"114","Kenya"
"115","Kyrgyzstan"
"116","Cambodia"
"117","Kiribati"
"118","St. Kitts and Nevis"
"119","Korea"
"120","Kosovo"
"121","Kuwait"
"122","Lao PDR"
"123","Lebanon"
"124","Liberia"
"125","Libya"
"126","Saint Lucia"
"127","Liechtenstein"
"128","Sri Lanka"
"129","Lesotho"
"130","Lithuania"
"131","Luxembourg"
"132","Latvia"
"133","Macao"
"134","St-Martin"
"135","Morocco"
"136","Monaco"
"137","Moldova"
"138","Madagascar"
"139","Maldives"
"140","Mexico"
"141","Marshall Is."
"142","Macedonia"
"143","Mali"
"144","Malta"
"145","Myanmar"
"146","Montenegro"
"147","Mongolia"
"148","N. Mariana Is."
"149","Mozambique"
"150","Mauritania"
"151","Montserrat"
"152","Mauritius"
"153","Malawi"
"154","Malaysia"
"155","Namibia"
"156","New Caledonia"
"157","Niger"
"158","Norfolk Island"
"159","Nigeria"
"160","Nicaragua"
"161","Niue"
"162","Netherlands"
"163","Norway"
"164","Nepal"
"165","Nauru"
"166","New Zealand"
"167","Oman"
"168","Pakistan"
"169","Panama"
"170","Pitcairn Is."
"171","Peru"
"172","Philippines"
"173","Palau"
"174","Papua New Guinea"
"175","Poland"
"176","Puerto Rico"
"177","Dem. Rep. Korea"
"178","Portugal"
"179","Paraguay"
"180","Palestine"
"181","Fr. Polynesia"
"182","Qatar"
"183","Romania"
"184","Russia"
"185","Rwanda"
"186","W. Sahara"
"187","Saudi Arabia"
"188","Sudan"
"189","S. Sudan"
"190","Senegal"
"191","Singapore"
"192","S. Geo. and S. Sandw. Is."
"193","Saint Helena"
"194","Solomon Is."
"195","Sierra Leone"
"196","El Salvador"
"197","San Marino"
"198","Somaliland"
"199","Somalia"
"200","St. Pierre and Miquelon"
"201","Serbia"
"202","São Tomé and Principe"
"203","Suriname"
"204","Slovakia"
"205","Slovenia"
"206","Sweden"
"207","Swaziland"
"208","Sint Maarten"
"209","Seychelles"
"210","Syria"
"211","Turks and Caicos Is."
"212","Chad"
"213","Togo"
"214","Thailand"
"215","Tajikistan"
"216","Turkmenistan"
"217","Timor-Leste"
"218","Tonga"
"219","Trinidad and Tobago"
"220","Tunisia"
"221","Turkey"
"222","Taiwan"
"223","Tanzania"
"224","Uganda"
"225","Ukraine"
"226","Uruguay"
"227","United States"
"228","Uzbekistan"
"229","Vatican"
"230","St. Vin. and Gren."
"231","Venezuela"
"232","British Virgin Is."
"233","U.S. Virgin Is."
"234","Vietnam"
"235","Vanuatu"
"236","Wallis and Futuna Is."
"237","Samoa"
"238","Yemen"
"239","South Africa"
"240","Zambia"
"241","Zimbabwe"
